Country,Year,GHG_emissions,CO2_emissions,CH4_emissions,NO2_emissions,GDP,Final_EI,Fuel_mix,Carbon_intensity,Renewables_share,Envt_taxes,Liquid_biofuels,Solar_thermal,Heat_pumps
European Union - 27 countries (from 2020),2010,4188243.74,3443913.62,427117.51,219323.09,10977298,92.24,2.8,91.9,14.421,259023,29688.790999999997,34487.957,31200.124
European Union - 27 countries (from 2020),2011,4075283.09,3338306.91,419634.19,216186.63,11321811.2,85.89,2.88,91.5,14.551,271901.02,28710.535999999996,37949.152,43941.42599999999
European Union - 27 countries (from 2020),2012,3996644.79,3262594.17,416826.85,213789.19,11388518.2,84.28,2.78,90.9,16.023,278204.39,28421.938,40587.305,48603.179
European Union - 27 countries (from 2020),2013,3912623.32,3181485.38,411161.26,214272.44,11517118.7,83.56,2.67,89.5,16.697,284120.84,29751.457,43245.729,53297.869000000006
European Union - 27 countries (from 2020),2014,3776463.69,3046140.55,406014.53,216857.58,11781640,77.43,2.62,88.3,17.463,291029.59,29151.719999999998,45425.101,79990.39700000001
European Union - 27 countries (from 2020),2015,3828829.65,3100458.1,406553.89,217800.23,12211542.9,75.05,2.57,88.7,17.84,299038.83,29906.173,47382.289,87764.25399999999
European Union - 27 countries (from 2020),2016,3827486.45,3104954.97,402406.98,217016,12551001.6,75.7,2.54,88,18.029,310098.58,31869.576,49146.595,97519.811
European Union - 27 countries (from 2020),2017,3853315.24,3129045.96,401224.31,221130.37,13069726.6,74.33,2.53,86.7,18.467,316708.85,32520.448000000004,50358.718,240565.77500000002
European Union - 27 countries (from 2020),2018,3763867.75,3055920.52,394515.03,216340.4,13518572.2,71.86,2.4,85.2,18.906,324997.31,33559.944,51862.242,249312.29200000002
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,2010,4806751.83,3959597.45,492003.57,239524.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,2011,4646351.3,3811621.34,481816.07,235597.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,2012,4584419.71,3753892.9,477467.59,233070.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,2013,4486756.13,3662879.12,467815.05,233480.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,2014,4310395.29,3488667.74,460559.99,236686.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,2015,4344976.89,3526493.96,460298.98,237116.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,2016,4317835.57,3507562.12,454561.59,236258.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,2017,4332635.26,3520749.2,453793.04,240750.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,2018,4233885.39,3439733.61,447047.58,235846.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Union - 28 countries (2013-2020),2010,4798807.15,3953615.31,490884.9,239061.27,12849473.4,90.81,2.68,92.6,13.161,305036.25,30570.858999999997,35525.957,49816.728
European Union - 28 countries (2013-2020),2011,4638628.61,3805745.69,480728.3,235137.52,13234680.5,84.36,2.76,92.1,13.388,318462.75,29589.933999999997,39122.152,63803.174
European Union - 28 countries (2013-2020),2012,4576663.56,3747980.27,476423.38,232607.85,13499547.1,82.83,2.67,91.8,14.663,329210.1,29648.768,41839.305,69770.566
European Union - 28 countries (2013-2020),2013,4478951.77,3656937.22,466765.27,233021,13613456.7,82.07,2.61,90.4,15.37,335049.88,30998.867000000002,44552.729,75994.76
European Union - 28 countries (2013-2020),2014,4302544.79,3482734.33,459501.62,236197.23,14092720.2,75.85,2.57,89,16.203,346815.33,30308.860999999997,46777.101,104179.715
European Union - 28 countries (2013-2020),2015,4337135.5,3520556.32,459247.55,236647.08,14856259.4,73.44,2.5,88.8,16.734,362906.91,30911.47,48765.289,113592.862
European Union - 28 countries (2013-2020),2016,4310161.29,3501781.95,453520.72,235792.56,14985120.8,74.17,2.44,87.7,16.982,368424.59,33073.285,50546.595,122931.16200000001
European Union - 28 countries (2013-2020),2017,4324794.57,3514764.05,452761.63,240270.24,15429516.5,72.8,2.42,86.4,17.482,372557.68,33851.659,51786.718,265956.008
European Union - 28 countries (2013-2020),2018,4225970.07,3433629.28,446029.33,235383.81,15939469.4,70.57,2.28,84.8,18.01,381734.54,34858.268000000004,53305.242,275021.155
Belgium,2010,134315.86,114561.03,8794.36,7587.12,363140.1,114.09,1.39,90.6,6.002,8879,1374,371,0
Belgium,2011,123782.51,105046.06,8530.82,6374.29,375967.8,103.22,1.41,87.7,6.275,9668.4,1374,420,0
Belgium,2012,120922.5,102428.75,8392.13,6306.82,386174.7,99.68,1.37,90.7,7.089,9735,1105.8,527,0
Belgium,2013,120949.31,102674.4,8236.66,6146.26,392880,102.2,1.57,86.9,7.65,9905.5,1105.145,570,0
Belgium,2014,115215.77,96811.32,8118.96,6181.75,403003.3,92.09,1.65,85.8,8.043,10254.53,1105.145,614.6,0
Belgium,2015,119418.39,100981.34,8127.37,6035.06,416701.4,91.67,1.64,90.1,8.026,10618.06,929.145,660.7,0
Belgium,2016,118172.44,99806.94,8101.19,5762.55,430085.3,92.51,1.54,83.6,8.752,11469.55,929.145,701.2,0
Belgium,2017,118005.1,99456.28,7932.12,5978.51,444991.1,89.94,1.5,83.5,9.113,11992.03,927.3,728.6,0
Belgium,2018,118455.74,100207.84,7848.74,5702.29,460419.4,87.55,1.52,86.8,9.478,12413.74,927.3,748.3,0
Bulgaria,2010,60726.73,47862.93,7844.18,4337.75,38058.1,104.58,4.71,117.9,13.928,1051.56,192.6,194,0
Bulgaria,2011,65995.81,53178.04,8056.33,3991.73,41268.9,107.06,4.87,122.1,14.152,1107.65,93.738,230,0
Bulgaria,2012,60940.95,48349.01,7686.29,4066.36,42048.6,102.52,4.51,115.5,15.837,1136.21,63.738,256,0
Bulgaria,2013,55666.99,42649.51,7564.7,4463.95,41903.5,99.36,4.2,109,18.898,1227.05,85.638,309,0
Bulgaria,2014,58679.25,45169.33,7459.82,4925.23,42890.3,96.2,3.57,110.1,18.05,1209.72,187.738,327,0
Bulgaria,2015,61920.68,48194.28,7450.42,5035.81,45690.9,95.96,3.53,111.8,18.261,1437.71,186,344,0
Bulgaria,2016,59345.03,45353.72,7213.21,5360,48640.2,95.13,3.51,106.5,18.76,1418.92,187,354,0
Bulgaria,2017,61682.76,47505.16,7001.14,5342.27,52329,93.51,3.81,108.5,18.701,1510.71,187,378,0
Bulgaria,2018,57815.59,43551.6,6753.67,5239.79,56111.8,89.03,3.64,99.1,20.592,1648.09,187,401.498,0
Czechia,2010,140878.15,118478.65,14445.97,5401.23,157920.8,113.2,7.82,83.6,10.514,3577.44,580,307,415.584
Czechia,2011,139317.19,116018.37,14477.98,6039.32,165202.2,106.67,7.87,85.3,10.945,3846.2,580,359,515.5740000000001
Czechia,2012,135117.65,111870.58,14460.44,5894.47,162587.5,104.96,8.13,82.9,12.813,3606.43,580,398,629.0029999999999
Czechia,2013,129799.09,107242.3,13879.72,5670.86,159461.5,101.63,8.01,78.4,13.927,3331.14,580,427,749.481
Czechia,2014,127667.1,104860.3,13878.48,5770.81,157821.3,93.55,7.1,78.6,15.073,3346.96,580,454,870.743
Czechia,2015,129092.8,105604.43,13943.88,6172.24,169558.2,90.03,6.79,79.4,15.067,3477.33,580,480,1005.612
Czechia,2016,130895.42,107390.22,13478.72,6503.63,177438.5,91,6.58,81.3,14.924,3728.38,580,506,1186.316
Czechia,2017,129777.01,106359.74,13280.21,6420.31,194132.9,88.61,7.16,77,14.796,3896.98,600,524,1408.806
Czechia,2018,128139.42,105101.04,13154.94,6072.34,210927.8,83.75,6.85,75.2,15.138,4129.14,600,539,1680.522
Denmark,2010,63528.65,49634.31,7630.9,5381.23,243165.4,84.9,0.93,87.6,21.889,9768.83,104.78,480,0
Denmark,2011,58300.45,44612.97,7471.72,5375.09,247879.9,79.3,1.03,84.2,23.39,9957.39,42.134,556,0
Denmark,2012,53734.2,40201.56,7364.22,5284.16,254578,75.5,0.85,78.4,25.466,10098.51,50.542,597,0
Denmark,2013,55472.55,42081.6,7271.93,5280.13,258742.7,73.13,0.97,81.9,27.174,10712.56,44.586,712,0
Denmark,2014,51246.03,37849.49,7238.57,5377.63,265757,68.72,0.98,77.3,29.323,10621.56,42.148,810,0
Denmark,2015,48630.24,35490.35,7165.8,5387.83,273017.6,67.75,0.87,72.5,30.866,10847.35,30.23,1015.929,0
Denmark,2016,50664.45,37286.64,7217.32,5537.97,283109.7,68.16,0.88,74,32.052,11065.36,14.738,1368.997,0
Denmark,2017,48353.71,35015.03,7244.87,5597.83,294808.2,65.39,0.95,68.8,34.677,10808.26,10.122,1542.384,0
Denmark,2018,48223.79,34932.48,7332.63,5398.14,302361.1,63.48,0.97,68.7,35.413,10933.41,12.588,1830.555,0
Germany (until 1990 former territory of the FRG),2010,942338,832669.74,59181.2,36235.58,2564400,91.48,2.08,93.3,11.667,55159.91,8448,13914,4818.639999999999
Germany (until 1990 former territory of the FRG),2011,919434.65,809426.95,58067.17,37539.21,2693560,82.16,2.45,95.4,12.453,58647.28,7127,15100,5440.907
Germany (until 1990 former territory of the FRG),2012,924147.41,813893.12,58804.79,36863.34,2745310,81.85,2.14,95.4,13.543,58184.71,6862,16140,6146.444
Germany (until 1990 former territory of the FRG),2013,941570.26,831316.28,58219.39,37406.74,2811350,82.88,2.08,95.4,13.76,57937.31,7020,17020,6813.957
Germany (until 1990 former territory of the FRG),2014,902388.74,792684.87,56991.08,38050.34,2927430,74.76,2.07,94.7,14.385,58282,6709,17746,7454.394
Germany (until 1990 former territory of the FRG),2015,906320.05,795816.36,56767.56,38667.07,3026180,72.74,2.38,94.9,14.906,58057.97,6773,18339,8079.620999999999
Germany (until 1990 former territory of the FRG),2016,909052.47,800510.29,55506.92,37834.3,3134740,72.85,2.27,94.7,14.889,58432.1,8743,18812,8767.411
Germany (until 1990 former territory of the FRG),2017,894296.28,786654.55,54738.29,37540.91,3259860,71.39,2.22,92,15.476,59248.7,8907,19091,9524.311999999998
Germany (until 1990 former territory of the FRG),2018,858368.68,755362.34,52641.89,35518.29,3356410,68.47,1.87,90,16.673,59724,NA,19269,10340.421
Estonia,2010,21019.06,18784.96,1243.7,813.13,14863.1,130.57,1.31,105.5,24.599,431.6,0,0,0
Estonia,2011,21058.29,18855.12,1200.65,817.42,16829.2,116.84,1.6,104.8,25.347,454.26,0,0,0
Estonia,2012,19966.95,17684.98,1218.33,868.42,18050.7,110.73,1.45,99.8,25.521,489.06,0,0,0
Estonia,2013,21848.04,19551.95,1216.18,870.15,19033.4,108.32,1.4,98.8,25.321,484.64,0,0,0
Estonia,2014,21056.79,18755.95,1181.3,899.31,20180,99.14,1.73,101.7,26.141,533.06,0,0,0
Estonia,2015,18109.74,15813.4,1146.79,924.1,20782.2,96.33,0.61,92.5,28.528,562.85,0,0,0
Estonia,2016,19640.42,17377.65,1125.24,899.43,21931.5,94.31,0.63,92.4,28.715,645.18,0,0,0
Estonia,2017,20923.49,18635.87,1129.42,923.86,23857.7,92.94,0.75,102.4,29.168,680.74,0,0,0
Estonia,2018,19974.14,17710.95,1117.41,912.19,25937.6,90.42,0.91,90.8,29.993,709.14,0,0,0
Ireland,2010,61277.54,41747.93,12070.12,6345.59,167673.7,78.78,3.18,90.8,5.781,4103.86,42.37,184.576,0
Ireland,2011,57156.86,38052.22,12037.56,5938.67,170950.9,71.55,3.05,90.2,6.57,4204.11,34.32,223.391,0
Ireland,2012,57752.7,38209.59,12336.89,6097.94,175103.9,67.15,3.22,89.4,7.006,4173.44,29.92,251.144,0
Ireland,2013,57589.73,37235.3,12672.87,6536.82,179616.3,66.38,3.37,90.3,7.582,4444.87,29.92,277.619,0
Ireland,2014,57325.32,36785.33,12966.85,6356.32,195148.1,62.04,3.31,88,8.568,4683.91,29.92,300.183,0
Ireland,2015,59415.93,38545.33,13290.14,6354.99,262853.3,46.3,3.17,87.3,9.044,4977.24,29.92,319.946,0
Ireland,2016,61491.44,40029.84,13678.84,6465.8,270809.5,48.03,2.76,86,9.165,5117.49,29.92,343.251,0
Ireland,2017,61004.88,38910.19,13991.91,6748.96,300386.9,44.98,2.71,84.6,10.465,5232.37,35.2,311.216,0
Ireland,2018,60934.54,38803.39,13984.98,6953.7,326986.1,43.43,2.86,82.8,10.888,5119.3,35.2,333.407,0
Greece,2010,118522.25,97361.5,11068.17,5489.52,224124,80.4,1.64,94.7,10.077,5977.97,900,4100,0
Greece,2011,115593.36,94549.58,10935.66,5245.24,203308.2,87.86,1.19,96.3,11.153,6016.97,746.808,4090,0
Greece,2012,112326.85,91430.1,10772.7,4817.3,188388.7,82.2,1.39,93.3,13.741,6264.84,746.808,4122,0
Greece,2013,102705.1,81735.05,10532.9,4517.96,179616.4,73.18,1.45,93.3,15.326,6584.97,980.535,4181,0
Greece,2014,99276.89,78659.8,10323.79,4310.8,177349.4,72.9,1.57,89.5,15.683,6627.92,973.104,4287,0
Greece,2015,95482.14,74957.9,10151.67,4248.15,176110.2,76.36,1.43,85.2,15.69,6748.98,993.924,4390,0
Greece,2016,91839.59,71368.36,9804.96,4302.04,174236.9,79.42,1.25,81.6,15.391,6655.95,993.924,4477,0
Greece,2017,95585.97,74852.85,10059.23,4365.16,177151.9,76.09,1.24,83,17.3,7129,1045.449,4596,6925.743
Greece,2018,92221.66,71797.87,10091.07,4284.88,179727.3,72.25,1.86,81.4,18.051,6823.05,1045.449,4691,7767
Spain,2010,358858.91,283724.99,40524.75,18197.72,1072709,79.17,0.62,87.4,13.831,17672,4750,2376.296,0
Spain,2011,358230.88,284543.85,40639.63,17225.52,1063763,77.32,0.99,88.7,13.247,16866,4805,2633.597,0
Spain,2012,350958.86,278850.69,39441.69,16552.79,1031099,74.35,0.67,87.7,14.314,16325,4226,2861.253,0
Spain,2013,324693.22,252763.82,38489.71,17262.36,1020348,72.9,0.6,84.8,15.347,19611,4707,3094.149,0
Spain,2014,326815.62,255100.21,37908.23,17915.72,1032158,69.1,0.59,86.6,16.156,19344,4701,3348.055,12940.178
Spain,2015,338254.29,271687.35,39189.64,18138.8,1077590,66.13,0.57,88.6,16.259,20821,4701,3581.906,15685.476
Spain,2016,326890.38,260759.56,39150.2,17898.07,1113840,66.62,0.52,83.9,17.423,20792.96,4701,3795.584,18547.995
Spain,2017,340298.29,274671.26,39586.18,18529.65,1161867,65.89,0.61,84.6,17.563,21371.04,4701,3997.082,21771.547
Spain,2018,334255.16,269654.25,39722.33,18413.54,1204241,66.01,0.58,83,17.454,22075,4701,4202.77,25073.182
France,2010,511749.14,389058.83,61810.94,41849.59,1995289,86.2,1.2,88.5,12.672,37779,3851.75,1447,24316.15
France,2011,483180.6,362198.41,60614.45,40384.42,2058369,80.82,0.87,83.7,10.859,39738.75,3851.75,2204.051,27643.65
France,2012,483602.84,363459.85,59285.11,40598.01,2088804,82.07,0.93,84.4,13.274,41074,3851.75,2461.061,30813.489999999998
France,2013,484664.36,365464.96,58767.07,40375.1,2117189,81.49,0.78,84.5,13.908,42996.79,3851.75,2663.917,34123.644
France,2014,453661.29,333576.6,58588.39,41591.48,2149765,74.07,0.78,79.6,14.422,43880,3891.75,2806.867,37483.989
France,2015,457542.26,338200.94,57902.32,41424.98,2198432,72.6,0.8,79.7,14.861,47646,3891.75,2917.493,41265.666
France,2016,458685.58,340725.83,57340.37,40365.56,2234129,73.49,0.76,81.9,15.501,50287,3959.684,3005.947,45400.566
France,2017,463536.96,345738.38,56974.18,41871.46,2297242,71.59,0.8,82.9,15.904,53222,3999.684,3094.442,49656.859000000004
France,2018,444823.32,331542.58,56096.01,40183.06,2360687,68,0.84,79.6,16.444,56250,3999.684,3218.301,54358.767
Croatia,2010,28033.73,21050.86,4145.18,2449.83,45195.1,110.63,2.12,96.8,25.103,1370.13,64,92,0
Croatia,2011,27707.92,20682.44,4095.33,2524.58,44924.6,104.17,2.1,97.7,25.389,1200.67,64,106,0
Croatia,2012,25887.46,19114.78,4048.49,2317.71,44007.9,98.1,1.97,96.1,26.757,1125.28,69,125,0
Croatia,2013,24463.77,18454.62,3812.17,1721.74,43806.3,96.72,1.79,94,28.04,1250.38,69,143,0
Croatia,2014,23697.28,17704.99,3854.51,1656.25,43398.6,89.92,1.67,93.3,27.817,1417.33,63.838,162,0
Croatia,2015,24125.31,17840.75,3946.53,1850.32,44612,90.77,1.26,90.7,28.969,1545.3,63.838,183,0
Croatia,2016,24275.34,18105.04,4085.02,1595.35,46619.3,88.95,1.02,92,28.267,1672.19,41,204,0
Croatia,2017,25032.08,18737.69,4069.11,1730.57,49238.5,89.22,1.12,90.9,27.28,1784.15,41,226.7,0
Croatia,2018,23792.8,17718.65,3888.72,1685.85,51950.1,85.57,1.03,88,28.047,1920.44,41,246.1,0
